name,lambda,cases,top1,top3,median_ms
Current,0,600,106,164,0.589489936828613
Cache_05,0.05,600,106,164,1.0230541229248
Cache_10,0.1,600,102,161,1.02591514587402
Cache_20,0.2,600,91,148,1.0305643081665
