source,line_hash,rank,milliseconds
blogs,d267074911573a6de4266cd018b5ff9d916c188df7e0bc04617ed99ed72e7548,2,0.538110733032227
blogs,289ecbb05bd1df116b388dfce818a704ce3b45504536e71478dbb35484478a89,0,0.535964965820313
blogs,27b71126ec92112afb54eb000137182029bfcd0ebc3d6dbd6cd6d9483e3a4234,0,0.64396858215332
blogs,ddede43370fa553ae2705c278f52107fabdba65412378756953c6d27913bcf0a,0,0.538825988769531
blogs,5918f37fca3c7089c9f83756790ef55fa02549c3383a53e67e7ec28401bb412b,0,0.555038452148438
blogs,2a2c45f7d25bf1f3be66a95a02a88f42d3b03e2016e5bce15e735cc9c26910a8,2,0.560998916625977
blogs,1b318a52a1fc587e9425cc21811759c771ea51381d41a018d6a4bd3d02cc45ae,0,0.548124313354492
blogs,580589c89a508ed2f4b1766886ba623bec667f18bbb282189b3d36ecd412209c,0,0.566005706787109
blogs,50b9d5391f73c1fe0c14b262ff5abeb64fa1e880491b3cdf9736900d8f29a7a3,2,0.535964965820313
blogs,929846bf043468a80ab4f13004e997e29b18248e39cd61f60c2f2483e82ae9d9,0,5.78379631042481
blogs,361aa83793b17e1cb64a7e78bebe2c9dde88d0751b7ef508242823501bf26cf1,3,0.791072845458984
blogs,0ec1f7437566873287fb4ce2337545d15b04fc9859d7c9df732eaf3828b639ff,2,0.836849212646484
blogs,8a408670d1fffe106c3249c50114ed0ee76b8aba4d1cea1ba97bbef380613c9a,0,0.632047653198242
blogs,d3aa691ddc018a6d5fadf674929c511806af19a69aa261d8c173c0ea587b5c3f,0,0.638008117675781
blogs,59d0f2409d827263bcda66b91fcabe32b1ef885a9550d6898df2a271a5ec034d,0,0.61488151550293
blogs,c49d87c5affe4e36ae34217c03e51abadf80293b674c00e50068902705ba16ca,0,0.61798095703125
blogs,769d17e744efc9f359f472b33b7eb105cfeacd41c8a520c02c0c4aadd552c805,0,0.625848770141602
blogs,14fc8df07a8d53d992cd72761a6265695f6c1fdeced1febb4fa01fc775b2777e,1,0.641822814941406
blogs,83a1203467cbe6489cac8a50d562ea477b423c9ebb81fd31272f9342e90ffc34,0,0.658988952636719
blogs,6d5ed27525ca9d74933058c30ac43026dc1e3f55835b8ebe864d70b14add954c,0,0.895023345947266
blogs,a84b2495026668563d2d2b80e26c295978500cb674de72c200fcd9aa5d99ab93,0,0.648975372314453
blogs,f388cd77a4ea5c2114bec4dec6f7757e3b4fbae9eb400d8097f0d77d02748e35,1,0.694990158081055
blogs,e950195b249e4732f401a15b796b714944447b9025203d3108daf112473e750e,0,0.615119934082031
blogs,5ddc58f751c00ce74fe573241d6f045e9a5c1e0e56b5d4d43fb3f7a0556007a1,0,0.601053237915039
blogs,3e691c6574767bc1494057f084358db0f018e395f8195813f147b4177033d5bf,0,0.668048858642578
blogs,50c3f1c845a617b0e1552789043c90e959d925ed130f6f05de05d4c07d96a2b7,1,0.591039657592773
