name,penalty,cases,top1,top3,unrecognized_suggestions,median_ms,p95_ms,memory_mib,gained,lost
Current,1,600,106,164,3,0.562071800231934,0.726950168609619,215.704490661621,0,0
Gentle,0.5,600,106,164,1,0.55694580078125,0.716018676757812,216.277114868164,0,0
Strong,0.1,600,106,164,0,0.555038452148438,0.735998153686523,216.277114868164,0,0
Strict,0,600,106,164,0,0.555038452148438,0.749838352203369,216.277114868164,0,0
