source,line_hash,rank,milliseconds,candidate_count
blogs,f27ea2d29c7104c919b3db28c6665a75f06509e20abfce2a096f6bd7fdee17a5,5,106.63200000999495,74
blogs,2e33f63c7626dbc369773847be674268e62ff845811d0f1a707abb82d030fda8,0,109.52180001186207,73
blogs,3a5c23d72140c92c25f4fbd08b9ac0feecee320dc88c6ee630121fbb1dc7ba3f,1,113.6047000036342,80
blogs,150f418fb152be9cb918f6a5cddb03c13ba3de68e7a2ad474b9d73f9888b10db,5,125.01289999636356,74
blogs,379382c7ed6229fb6a69c6e7589b03d3240417a25dc4be8d5bfa25a7d0e6a114,1,118.41940000886098,75
blogs,1a3d0e172a1fcc90d98522daac9c53c1add1ae3f5e1b59bfafdbaf7f15ea7e13,4,114.38410000118893,72
blogs,b1bdb15784994402f4445749c82f4d5fa4972fe0ae3f775cd198f3db707ed5c7,0,125.10440000914969,82
blogs,75ec673b2b31cde02d81eb99e409f3c60f43ed1afdb8d3477a01196e43e64dc7,6,106.18539999995846,79
blogs,640a825583d8a72a7cd2175016d14e07d28d2bdd55709dbc8634270dfaec9da5,0,113.48500000895001,80
blogs,91507145be5cf1fad2815adf342860b6bdac455d8db048b0374aa8c35cea72ae,1,117.4139000067953,85
blogs,b72474f50716169e9748a2eb8e76b7ab5e47c06dda75b8e74db7920d216f09bc,0,112.57320000731852,81
blogs,4e8895ae50463f9bb1588854743dfddeff57c6d568879614efeb3e276882ab37,5,114.0159000060521,76
blogs,8334b4540dfa719754aa0de65ed2e2986c1843ed87663872cd9a57a7753146d8,5,128.3019999973476,78
blogs,c32c3e1300b8358f8bf7ec24bd106bbef01d3579e2c273272d5efc7b145fa792,4,118.06620001152623,74
blogs,41b8bc114e6a873a647502ff550d0b54a9f7fdb2fdb10bff657a8df21d400073,0,109.92489999625832,90
blogs,b57186493fa3a2c547d996aa77e54272d923628b38b4516aea24441809f9338e,26,171.34630000509787,78
blogs,6fda27b4519c3b1f949aa789fafd4633a2f4715428108f635f869b6f6abb47e4,0,107.73569998855237,87
blogs,8e31aa2486bd2af28e15adf7c3e90c3c5b00791a9a32397ade5784dc34970532,2,117.42019999655895,81
blogs,7d7f9e354d8330b014d1ef7c7cb1d9701045bc373464c2dff27577df2203228f,0,117.31250000593718,87
blogs,32cd52cb54a0a85df0b971cd8c0dec12b0e8fca77376c9ed9eed5d52992e76d9,0,117.5511000037659,81
blogs,3f11bb930af28be6636d3b7d33c9d93c16b75c68d23c735cac8a5f410b6e3565,24,119.9754999979632,69
blogs,c3c80837aa0856c9606e04dcab979b22143dbe7815d5c469b05d365064138398,0,131.8353999959072,73
blogs,f9c18fac0730e3adf3d480213575a4cbb220eb2947050930de7197229981d9fd,1,125.96429999393877,83
blogs,3de6e4df992e71eb825eca79e7a59069fc50a064448f89979e471bcc3c22ba75,3,156.11349999380764,92
