group,cases,top1_count,top3_count,covered_count,present_outside_top3_count,target_absent_count,top3,coverage,top3_given_covered,synthetic_choice_correct
one canonical token,549,148,220,461,241,88,0.4007285974499089,0.8397085610200364,0.4772234273318872,483
multiple canonical tokens,51,1,2,6,4,45,0.0392156862745098,0.11764705882352941,0.3333333333333333,37
not proposed by any eligible single token,36,1,1,3,2,33,0.027777777777777776,0.08333333333333333,0.3333333333333333,28
target in R top20,284,127,180,284,104,0,0.6338028169014085,1.0,0.6338028169014085,269
target not in R top20,316,22,42,183,141,133,0.13291139240506328,0.5791139240506329,0.22950819672131148,251
