source,line_hash,rank,available,in_vocabulary,elapsed_ms,order
blogs,9fb21335387665fc670ecadde25b24fc43a3fa2dca1f7d90fae6a57437776e5c,0,TRUE,TRUE,0,5
blogs,41471f796a67b32fbc3f0998a6527f5e31fa1a3ccf51e08c0ce7b1272462e5ac,2,TRUE,TRUE,0,4
blogs,db0cafdaeb955f8759eae7b4a2b81b5a524b1bca28315d92886936f9f11423dd,0,TRUE,TRUE,10.0000000000051,2
blogs,3f0a4846066297cefe1e69780eb9d7f850da254863987270240f270b52753aa6,0,TRUE,TRUE,0,5
blogs,45f0c60f6774259a3c2d6584fcf9c41512e993e99cb34d1e439dbd7e1a8d1416,0,TRUE,TRUE,0,2
blogs,ce636c7af9d5630ca5e83db13e07d4c2630cd8f0e4bed3e9384e2afd8648f6c9,1,TRUE,TRUE,0,4
blogs,34cfae0f5e953d2bbc468f6eee2cdc13668719a0d6fa547e6d188e69505c502a,0,TRUE,FALSE,0,5
blogs,060e76b4353b4918dfdc3914a4958d4c2285154de5f1de6c3350082f75c0e93a,2,TRUE,TRUE,0,2
blogs,091ab936cbeb6cc442770747cef4b401fae733d81953bb0a41bc50342d43d82e,2,TRUE,TRUE,0,5
blogs,fd2ce02d86f7f4727b0356234bc3f2c9cec6af0bc09dc077e8bc100598916aec,0,TRUE,TRUE,19.999999999996,3
blogs,9e252cbcb1977b4f51dd498e1e1ffa54f33d6e73d11a7c5a472ddae774c828bd,3,TRUE,TRUE,9.99999999999091,4
blogs,1a504ff666ae1c22509e92a1be4cd491e253cfdfa7b61335b2cdb10e12b91082,0,TRUE,TRUE,0,5
blogs,0add0000aba1c37bc1dbb5fe9de553ab9e6654f4995a8b0764076d6568300b06,1,TRUE,TRUE,0,5
blogs,f324a34e3c36ec156c200d6b928c748be1269aeb85e15424c8becfbd6313634d,0,TRUE,TRUE,0,5
blogs,71c75f7af1f7bcf2b7a69ae69bb5bfe66423ebc3b7ebd4103444a273c65db4d0,1,TRUE,TRUE,0,3
blogs,e22a6c97fa0e705c8ebb1ffb0682c692a1630308aaf6d7c2c0d401833b8c9026,0,TRUE,TRUE,0,4
blogs,36243865a7b6245032c23d8a724f4cf94377e62cee233444b336ff4cef0c75a8,0,TRUE,TRUE,20.0000000000102,3
blogs,d0d2be0cdb8f0fb172d6026db973738f7643128eb96bbc10a41f6aa8165a07f1,1,TRUE,TRUE,0,5
blogs,76f8914e1ddf0f88c393908057d74e9dfbd52f43c669db3e646732e72f11f7ad,2,TRUE,TRUE,0,3
blogs,cb629d210039baaf6066fd958dd035d76ecddbbfb26535363080d9a18fa0baeb,0,TRUE,TRUE,0,3
blogs,02b030476524904f5cd6bbe0a57ac381aab323a436768c7ee8268577a9926998,1,TRUE,TRUE,0,2
blogs,5ad50d272e6946221e04435858f81d9f0c9923526143076edf56acd47a0814aa,0,TRUE,TRUE,0,2
blogs,1fe5b1eb97daf7c90f917154ec38048372c1cd5ac8b5181841f847e888103169,0,TRUE,TRUE,0,3
blogs,28a1cb0630b7758eb1ae6ca6e0827769ca1eecb5ee411cf177e4e08cc1c0cb83,0,TRUE,TRUE,19.999999999996,3
blogs,14a36be0824e09c7e78496fdf411894c498ccd9b74262ca5be88d413c54b1782,0,TRUE,TRUE,0,4
blogs,99acb487dbd4f7e6ac3d3dbdfa4c6a69c0d60b3f9920123d79f3273e62fd42be,0,TRUE,TRUE,0,3
blogs,47fc59eb185968590e6d5b99e8e1ed6f465ed2ca9e9234a6c18f5476b58a402b,0,TRUE,TRUE,0,4
blogs,e3d7a7006d4b8ab43627c09bdc29b89d09bebdcb82283c9c4162ab81417e597a,0,TRUE,TRUE,0,2
blogs,ba1e2d492ea3f0850f91d790e29431dd0e5a6a8d829ff842bfb11ce5201ed69c,0,TRUE,TRUE,0,2
blogs,2e2a0302953543dc804e119cc705a29810c136bc28b737660a11297212a0be33,0,TRUE,TRUE,10.0000000000051,4
blogs,88fe3b69976ab892245cc85f8c8e351c75e892aa39fd98e8a5de2308cec43d2f,0,TRUE,TRUE,0,3
blogs,452b694a1e0a34afb3a9f2b9e127aa421111370eeb322c69bca5603a58d849dc,0,TRUE,TRUE,0,3
blogs,69b9ca5bdfc0be82940939d63fcdd94eb3f331e583fc6c911f29e9bd247720b0,1,TRUE,TRUE,0,3
blogs,a6d3d55f1c76e23232a561a9b0740ed503e3c395162f9ced9716b57dc43136b1,0,TRUE,TRUE,0,3
blogs,2757124d9b8c5371ec0e1b1645171ed39fe822934a1705f3b9da800791dfc3e6,3,TRUE,TRUE,0,3
blogs,9c62e213eaa1a9794ad623315af89821feea05e41a8f49dd48b00398d9daf338,0,TRUE,TRUE,0,2
blogs,e8380c090759c4cc6c04ffce2db1cb2d87934eac6774bdbdd756948ad14942f3,0,TRUE,TRUE,19.999999999996,4
blogs,a14adbb06ea393f98d4efb2b1973bdd9d1ccd08ec7a6388d4d9563d78ecc1d65,0,TRUE,TRUE,0,4
blogs,dbae5b6133cdca9b943ae392348b7f9f904003479e6e05c8e1cef7e261d8ec22,1,TRUE,TRUE,0,5
blogs,b07a5b0465f0cd7000389ca850f69fdbce61b14e090a7e7ae73953fe3d804ac1,0,TRUE,TRUE,0,3
blogs,038ca8d1d5204f41d57ce90593317f8b009ae952b187cb84bf68aa74e8e30581,0,TRUE,TRUE,0,3
blogs,6152adc2b3cd9dc7659bf6400a4de6b9d3c8368231cfe39598361aaecf9875fe,0,TRUE,TRUE,0,4
blogs,f9de4ecf3abf679cfde67690ada653bb62a04f3c1f4c35f03d394f3093eb1350,0,TRUE,TRUE,0,4
blogs,6749a8197bc6927166c0827da9c7b923df19601f8de04ec1bba84e8bb5a156b0,0,TRUE,TRUE,10.0000000000051,4
blogs,421641043ed6ea77e3817df2cfb9c358bef76e9471c558b95232f48d3ef83bff,0,TRUE,TRUE,0,3
blogs,18c1c392f4d9de11327c0bc74fc73e6845f2821f476cb93ff8b0af4f48c38ab4,0,TRUE,TRUE,0,4
blogs,9e722c36a6a315422995dcacf735deb1fe55403a1355ddc017f0884f6ae3b47d,1,TRUE,TRUE,0,4
blogs,e22e101c5fb7e47c2e4b3d91d5cd411188b83c59fdc9537ba8f60aa4c6d9d3e7,0,TRUE,TRUE,0,2
blogs,99bbbd222cd6f46d77a9b2a44ca6734be7c02570cc5d65a507173c42ae92b2f6,0,TRUE,TRUE,0,2
blogs,34686fda33e8f503cd48f9fb6b7a585b7202b79102f7be4decfa2c237e3acb96,0,TRUE,TRUE,0,2
blogs,fb41a721325ed5f640e069e804d3c90ff8620c61b70fb20b9ff07271decdcefe,0,TRUE,TRUE,19.999999999996,3
blogs,72b9b9762b97d48659177a005ce12a1ec193a00caa2b0e113dd4e9ec2595e721,0,TRUE,TRUE,0,2
blogs,3b6236998450da989dbedae9d8cc15085c90fa4489aa45b89d1516019bad300b,2,TRUE,TRUE,0,1
blogs,8898391f8346f41ae8279d1389ba8eb7a6cb2f72dc01587d17f3ae40ceeb673e,0,TRUE,TRUE,0,2
blogs,b3764a5bbcaeba8f513018d90e3854fdbdf7e29fb65bb1fddf4a2d7fe31c8fa9,0,TRUE,TRUE,0,5
blogs,8b05392287516e911961ad08179425b8b95e86be47afbe8cfcceddbc6c50b500,1,TRUE,TRUE,0,5
blogs,b5bc3d6c22a3da89ba9643afd60aad1e8cc9c236da07d2b3f2ce21ef12eb9963,0,TRUE,TRUE,0,3
