source,cases,top1_count,top1,top1_low,top1_high,top3_count,top3,top3_low,top3_high,available,vocabulary_coverage,median_ms,p95_ms,mean_ms
blogs,300,50,0.166666666666667,0.128765331203681,0.212996649612683,84,0.28,0.232219022127953,0.333343885210847,1,0.976666666666667,0,19.999999999996,2.33333333333334
news,300,59,0.196666666666667,0.155644634197906,0.245358768344986,94,0.313333333333333,0.263484397559855,0.367902311697308,1,0.976666666666667,0,19.999999999996,2.20000000000004
twitter,300,44,0.146666666666667,0.111105187440337,0.191162512225009,79,0.263333333333333,0.21671150294236,0.315939503437258,1,0.986666666666667,0,19.999999999996,2.23333333333334
