name,vocabulary,support,followers,cases,top1,top3,median_ms,p95_ms,object_mib,file_mib
Current,50000,5,8,600,106,164,1.94704532623291,2.33224630355835,172.56258392334,19.2317314147949
More_contexts,50000,2,8,600,108,166,2.00009346008301,2.45699882507324,237.345336914063,27.8406524658203
More_followers,50000,5,16,600,107,164,1.94704532623291,2.27304697036743,202.522270202637,21.6875610351563
Larger_vocabulary,100000,5,8,600,107,164,2.05898284912109,2.54212617874146,181.85661315918,19.8939514160156
