cases,top1,top3,choice_accuracy,mrr_at_3,perplexity,oov,source
1000,0.183,0.3,0.809,0.233166666666667,323.268520910607,0.004,blogs
1000,0.179,0.306,0.808,0.2365,327.700161731994,0.002,news
1000,0.177,0.277,0.797,0.220166666666667,345.668671506102,0.002,twitter
