source,model,cases,top1,top3,synthetic_choice_accuracy,mrr_at3
blogs,Local Kneser-Ney v3,300,0.19333333333333333,0.30666666666666664,0.8,0.2422222222222222
blogs,Qwen3-1.7B-Base + local shortlist,300,0.26666666666666666,0.42333333333333334,0.8966666666666666,0.335
news,Local Kneser-Ney v3,300,0.25666666666666665,0.36666666666666664,0.8566666666666667,0.305
news,Qwen3-1.7B-Base + local shortlist,300,0.3433333333333333,0.45666666666666667,0.8633333333333333,0.39388888888888884
twitter,Local Kneser-Ney v3,300,0.20666666666666667,0.29,0.7966666666666666,0.24611111111111109
twitter,Qwen3-1.7B-Base + local shortlist,300,0.21333333333333335,0.32666666666666666,0.8166666666666667,0.2638888888888889
