group,cases,top3,target_missing,ranking_miss
All previous development,300,0.38666666666666666,0.28,0.3333333333333333
blogs,100,0.38,0.27,0.35
news,100,0.42,0.26,0.32
twitter,100,0.36,0.31,0.33
1-3 context words,67,0.26865671641791045,0.3283582089552239,0.40298507462686567
4-9 context words,104,0.40384615384615385,0.2980769230769231,0.2980769230769231
10+ context words,129,0.43410852713178294,0.24031007751937986,0.32558139534883723
