name,source,cases,top1,top3,mrr_at3,synthetic_choice_accuracy,shortlist_recall
prior_operational,blogs,300,0.24333333333333335,0.4,0.3161111111111111,0.9,0.8
prior_operational,news,300,0.2633333333333333,0.36666666666666664,0.30666666666666664,0.8733333333333333,0.7933333333333333
prior_operational,twitter,300,0.19666666666666666,0.33,0.25333333333333335,0.8533333333333334,0.7566666666666667
seed_20261410,blogs,300,0.24333333333333335,0.41,0.31833333333333336,0.9066666666666666,0.73
seed_20261410,news,300,0.27,0.36666666666666664,0.31,0.8733333333333333,0.7033333333333334
seed_20261410,twitter,300,0.20333333333333334,0.33,0.2561111111111111,0.8466666666666667,0.6866666666666666
seed_20261411,blogs,300,0.23333333333333334,0.39,0.30666666666666664,0.9,0.72
seed_20261411,news,300,0.26666666666666666,0.37666666666666665,0.31277777777777777,0.87,0.6966666666666667
seed_20261411,twitter,300,0.20333333333333334,0.33,0.2577777777777778,0.85,0.6833333333333333
seed_20261412,blogs,300,0.24,0.4033333333333333,0.3138888888888889,0.9133333333333333,0.7233333333333334
seed_20261412,news,300,0.26666666666666666,0.37333333333333335,0.3111111111111111,0.87,0.7033333333333334
seed_20261412,twitter,300,0.19333333333333333,0.33666666666666667,0.255,0.85,0.69
