candidate,cases,top1,top3,mrr_at3,synthetic_choice_accuracy,shortlist_recall,milliseconds,timing_cases
baseline,900,0.25333333333333335,0.39444444444444443,0.3151851851851852,0.8955555555555555,0.81,325.7186751108707,900
beam16,900,0.25333333333333335,0.39666666666666667,0.3161111111111111,0.8955555555555555,0.8233333333333334,779.7475626667276,900
