group,cases,baseline_top3,expanded_top3,baseline_coverage,expanded_coverage,gains,losses
All,900,0.39444444444444443,0.39666666666666667,0.81,0.8233333333333334,2,0
single_token,812,0.43472906403940886,0.43472906403940886,0.8731527093596059,0.8731527093596059,0,0
multiple_tokens,88,0.022727272727272728,0.045454545454545456,0.22727272727272727,0.36363636363636365,2,0
blogs,300,0.44,0.44,0.84,0.8533333333333334,0,0
news,300,0.38666666666666666,0.39,0.8266666666666667,0.8366666666666667,1,0
twitter,300,0.3566666666666667,0.36,0.7633333333333333,0.78,1,0
