candidate,cases,top1,top3,synthetic_choice_accuracy,mrr_at3,shortlist_recall,milliseconds,peak_gpu_mib
base64,600,0.22833333333333333,0.3516666666666667,0.8483333333333334,0.28194444444444444,0.685,166.9589589999911,3887.99365234375
base256,600,0.22833333333333333,0.3516666666666667,0.8483333333333334,0.28194444444444444,0.7716666666666666,268.32422050002305,4469.7783203125
local256,600,0.24833333333333332,0.37,0.8666666666666667,0.2991666666666667,0.7783333333333333,275.0053303333698,4469.7783203125
augmented256,600,0.245,0.3616666666666667,0.87,0.295,0.7866666666666666,277.2785539999798,4469.7783203125
