seed,steps,shortlist,cases,top1,top3,mrr_at3,synthetic_choice_accuracy,shortlist_recall,milliseconds,timing_cases,latency_p95_ms,peak_gpu_mib
20261410,256,64,600,0.24166666666666667,0.3616666666666667,0.2936111111111111,0.865,0.7016666666666667,166.26437666758042,60,179.87371000344862,4469.70849609375
20261410,256,256,600,0.24166666666666667,0.3616666666666667,0.2936111111111111,0.865,0.78,286.38064833406435,60,347.9713750071823,4469.70849609375
20261410,512,64,600,0.24666666666666667,0.36666666666666664,0.29833333333333334,0.8666666666666667,0.7033333333333334,168.0618266672051,60,183.18904501356883,4469.70849609375
20261410,512,256,600,0.24666666666666667,0.36666666666666664,0.29833333333333334,0.8666666666666667,0.79,295.3207949991338,60,361.9151900013094,4469.70849609375
20261410,1024,64,600,0.25166666666666665,0.3616666666666667,0.2994444444444444,0.87,0.7033333333333334,176.5457466681255,60,215.12698998994892,4469.70849609375
20261410,1024,256,600,0.25166666666666665,0.3616666666666667,0.2994444444444444,0.87,0.7933333333333333,301.33767666557105,60,363.4749450022354,4469.70849609375
20261411,256,64,600,0.24666666666666667,0.365,0.29694444444444446,0.8683333333333333,0.7016666666666667,182.13227999949595,60,222.56845997762863,4469.70849609375
20261411,256,256,600,0.24666666666666667,0.365,0.29694444444444446,0.8683333333333333,0.7816666666666666,311.70566499883233,60,381.50593499449315,4469.70849609375
20261411,512,64,600,0.25,0.36333333333333334,0.2997222222222222,0.8666666666666667,0.7016666666666667,175.1730649989137,60,207.0046099965111,4469.70849609375
20261411,512,256,600,0.25,0.36333333333333334,0.2997222222222222,0.8666666666666667,0.79,306.46307166753104,60,387.79447501874523,4469.70849609375
20261411,1024,64,600,0.24833333333333332,0.3616666666666667,0.2991666666666667,0.865,0.7033333333333334,179.85858667040398,60,225.05490000767165,4469.70849609375
20261411,1024,256,600,0.24833333333333332,0.3616666666666667,0.2991666666666667,0.865,0.79,309.54224833403714,60,391.57016001554433,4469.70849609375
20261412,256,64,600,0.24,0.37333333333333335,0.2963888888888889,0.865,0.7016666666666667,167.7191249987421,60,184.56146999960765,4469.70849609375
20261412,256,256,600,0.24,0.37333333333333335,0.2963888888888889,0.865,0.7816666666666666,293.84083999854437,60,354.151689982973,4469.70849609375
20261412,512,64,600,0.24166666666666667,0.36666666666666664,0.295,0.8633333333333333,0.705,182.8535933343422,60,223.56697000941494,4469.70849609375
20261412,512,256,600,0.24166666666666667,0.36666666666666664,0.295,0.8633333333333333,0.785,309.8806300011347,60,371.22119498526445,4469.70849609375
20261412,1024,64,600,0.25,0.36833333333333335,0.30138888888888893,0.865,0.7016666666666667,173.1765850020262,60,196.7110700192279,4469.70849609375
20261412,1024,256,600,0.25,0.36833333333333335,0.30138888888888893,0.865,0.79,298.85149333276786,60,368.8598950131563,4469.70849609375
