candidate,cases,top1,top3,mrr_at3,synthetic_choice_accuracy,shortlist_recall,milliseconds,timing_cases
baseline,600,0.24833333333333332,0.37,0.2991666666666667,0.8666666666666667,0.7783333333333333,311.01998166608,60
beam16,600,0.24833333333333332,0.36666666666666664,0.29777777777777775,0.8666666666666667,0.7866666666666666,765.8900033323638,60
beam64,600,0.24833333333333332,0.36666666666666664,0.29777777777777775,0.8666666666666667,0.795,1129.278128328345,60
