seed,steps,input_tokens,training_seconds,peak_gpu_mib
20261410,256,262144,132.83696919999784,5563.45263671875
20261410,512,524288,267.6241163999948,5563.45263671875
20261410,1024,1048576,537.6699344000081,5563.45263671875
20261411,256,262144,135.67586099999608,5563.45263671875
20261411,512,524288,270.2148400999722,5563.45263671875
20261411,1024,1048576,540.9963563999918,5563.45263671875
20261412,256,262144,135.31773339997744,5563.45263671875
20261412,512,524288,270.6251707999618,5563.45263671875
20261412,1024,1048576,539.3737256999593,5563.45263671875
