model,cases,top1,top3,synthetic_choice_accuracy,mrr_at3,milliseconds
Local Kneser-Ney v3,300,0.22333333333333333,0.35,0.7866666666666666,0.27611111111111114,
Qwen3-0.6B-Base + local shortlist,300,0.21333333333333335,0.3433333333333333,0.8266666666666667,0.27166666666666667,142.73254233325133
Qwen3-1.7B-Base + local shortlist,300,0.23666666666666666,0.38666666666666666,0.8866666666666667,0.3038888888888889,148.17823366669472
